[2026-03-17 11:00:14,905][transformers.models.auto.image_processing_auto][WARNING] - The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. 
[2026-03-25 14:45:07,703][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:08,092][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:08,093][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:45:08,313][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:08,687][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:09,057][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:09,239][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:09,621][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:10,110][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:10,485][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:10,667][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:11,043][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:11,462][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:11,829][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:12,201][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:12,572][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
