experiment_id	dataset_name	evaluator_name	idea_name	prototype_mode	class_bank_size	metrics_path	log_path
naturalbench_vqa	naturalbench_vqa	raw	baseline_mean	mean	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_naturalbench_vqa_baseline_mean_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_naturalbench_vqa_baseline_mean_qwen2_vl_pilot.log
naturalbench_vqa	naturalbench_vqa	raw	support_nn	support_nn	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_naturalbench_vqa_support_nn_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_naturalbench_vqa_support_nn_qwen2_vl_pilot.log
naturalbench_vqa	naturalbench_vqa	raw	class_bank4	class_bank	4	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_naturalbench_vqa_class_bank4_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_naturalbench_vqa_class_bank4_qwen2_vl_pilot.log
eurosat	eurosat	raw	baseline_mean	mean	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_eurosat_baseline_mean_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_eurosat_baseline_mean_qwen2_vl_pilot.log
eurosat	eurosat	raw	support_nn	support_nn	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_eurosat_support_nn_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_eurosat_support_nn_qwen2_vl_pilot.log
eurosat	eurosat	raw	class_bank4	class_bank	4	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_eurosat_class_bank4_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_eurosat_class_bank4_qwen2_vl_pilot.log
tinyimage	tinyimage	raw	baseline_mean	mean	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_tinyimage_baseline_mean_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_tinyimage_baseline_mean_qwen2_vl_pilot.log
tinyimage	tinyimage	raw	support_nn	support_nn	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_tinyimage_support_nn_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_tinyimage_support_nn_qwen2_vl_pilot.log
tinyimage	tinyimage	raw	class_bank4	class_bank	4	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_tinyimage_class_bank4_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_tinyimage_class_bank4_qwen2_vl_pilot.log
blink_art_style	blink_art_style	raw	baseline_mean	mean	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_blink_art_style_baseline_mean_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_blink_art_style_baseline_mean_qwen2_vl_pilot.log
blink_art_style	blink_art_style	raw	support_nn	support_nn	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_blink_art_style_support_nn_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_blink_art_style_support_nn_qwen2_vl_pilot.log
blink_art_style	blink_art_style	raw	class_bank4	class_bank	4	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_blink_art_style_class_bank4_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_blink_art_style_class_bank4_qwen2_vl_pilot.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	baseline_mean	mean	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_blink_semantic_correspondence_baseline_mean_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_blink_semantic_correspondence_baseline_mean_qwen2_vl_pilot.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	support_nn	support_nn	1	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_blink_semantic_correspondence_support_nn_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_blink_semantic_correspondence_support_nn_qwen2_vl_pilot.log
blink_semantic_correspondence	blink_semantic_correspondence	raw	class_bank4	class_bank	4	/root/autodl-tmp/FGVC/swap/outputs/20260324_074058_sav_idea_pilots/sav_blink_semantic_correspondence_class_bank4_qwen2_vl_pilot.metrics.json	/root/autodl-tmp/FGVC/swap/logs/20260324_074058_sav_idea_pilots/sav_blink_semantic_correspondence_class_bank4_qwen2_vl_pilot.log
