experiment_id	dataset_name	evaluator_name	method_id	display_name	run_name	train_subset	val_subset	metrics_path	predictions_path
blink_semantic_correspondence	blink_semantic_correspondence	raw	rse_adaptive_only	RSE-AdaptiveOnly	blink_semantic_correspondence_rse_adaptive_only_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/blink_semantic_correspondence/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/blink_semantic_correspondence/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/blink_semantic_correspondence_rse_adaptive_only_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/blink_semantic_correspondence_rse_adaptive_only_qwen2_vl_20260325_051526.predictions.jsonl
blink_semantic_correspondence	blink_semantic_correspondence	raw	rse_adaptive_pca	RSE-Adaptive+PCA	blink_semantic_correspondence_rse_adaptive_pca_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/blink_semantic_correspondence/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/blink_semantic_correspondence/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/blink_semantic_correspondence_rse_adaptive_pca_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/blink_semantic_correspondence_rse_adaptive_pca_qwen2_vl_20260325_051526.predictions.jsonl
cub	cub	raw	rse_adaptive_only	RSE-AdaptiveOnly	cub_rse_adaptive_only_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/cub/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/cub/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/cub_rse_adaptive_only_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/cub_rse_adaptive_only_qwen2_vl_20260325_051526.predictions.jsonl
cub	cub	raw	rse_adaptive_pca	RSE-Adaptive+PCA	cub_rse_adaptive_pca_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/cub/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/cub/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/cub_rse_adaptive_pca_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/cub_rse_adaptive_pca_qwen2_vl_20260325_051526.predictions.jsonl
eurosat	eurosat	raw	rse_adaptive_only	RSE-AdaptiveOnly	eurosat_rse_adaptive_only_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/eurosat_rse_adaptive_only_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/eurosat_rse_adaptive_only_qwen2_vl_20260325_051526.predictions.jsonl
eurosat	eurosat	raw	rse_adaptive_pca	RSE-Adaptive+PCA	eurosat_rse_adaptive_pca_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/train_subset.json	/root/autodl-tmp/FGVC/swap/subsets/20260324_125034_fgvc_method_suite/eurosat/val_subset.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/eurosat_rse_adaptive_pca_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/eurosat_rse_adaptive_pca_qwen2_vl_20260325_051526.predictions.jsonl
naturalbench_vqa	naturalbench_vqa	raw	rse_adaptive_only	RSE-AdaptiveOnly	naturalbench_vqa_rse_adaptive_only_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/naturalbench_vqa_rse_adaptive_only_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/naturalbench_vqa_rse_adaptive_only_qwen2_vl_20260325_051526.predictions.jsonl
naturalbench_vqa	naturalbench_vqa	raw	rse_adaptive_pca	RSE-Adaptive+PCA	naturalbench_vqa_rse_adaptive_pca_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/naturalbench_vqa_rse_adaptive_pca_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/naturalbench_vqa_rse_adaptive_pca_qwen2_vl_20260325_051526.predictions.jsonl
sugarcrepe	sugarcrepe	pair	rse_adaptive_only	RSE-AdaptiveOnly	sugarcrepe_rse_adaptive_only_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/sugarcrepe/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/sugarcrepe/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/sugarcrepe_rse_adaptive_only_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/sugarcrepe_rse_adaptive_only_qwen2_vl_20260325_051526.predictions.jsonl
sugarcrepe	sugarcrepe	pair	rse_adaptive_pca	RSE-Adaptive+PCA	sugarcrepe_rse_adaptive_pca_qwen2_vl_20260325_051526	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/sugarcrepe/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/subsets/20260325_040658_rse_expanded_suite/sugarcrepe/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/sugarcrepe_rse_adaptive_pca_qwen2_vl_20260325_051526.metrics.json	/root/autodl-tmp/FGVC/swap/outputs/20260325_051526_rse_adaptive_combo_suite/sugarcrepe_rse_adaptive_pca_qwen2_vl_20260325_051526.predictions.jsonl
