suite_name	timestamp	seed	model_name	experiment_id	dataset_name	evaluator_name	method_id	display_name	sequence_index	worker_id	cuda_visible_devices	run_name	train_subset	val_subset	metrics_path	predictions_path	diagnostics_path	log_path
c3_efficiency	20260326_152111	42	qwen2_vl	cub_fgvc	cub	raw	zero_shot	Zero-shot	0	main	inherit	c3_efficiency_cub_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	cub_fgvc	cub	raw	sav	SAV	1	main	inherit	c3_efficiency_cub_fgvc_seed42_sav_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_sav_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_sav_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_sav_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_sav_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	cub_fgvc	cub	raw	rsev2	RSEv2	2	main	inherit	c3_efficiency_cub_fgvc_seed42_rsev2_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	cub_fgvc	cub	raw	mimic	MimIC	3	main	inherit	c3_efficiency_cub_fgvc_seed42_mimic_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_mimic_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_mimic_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_mimic_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_mimic_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	cub_fgvc	cub	raw	i2cl	I2CL	4	main	inherit	c3_efficiency_cub_fgvc_seed42_i2cl_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_i2cl_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_i2cl_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_i2cl_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_i2cl_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	cub_fgvc	cub	raw	stv	STV	5	main	inherit	c3_efficiency_cub_fgvc_seed42_stv_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_stv_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_stv_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_stv_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_cub_fgvc_seed42_stv_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	eurosat_fgvc	eurosat	raw	zero_shot	Zero-shot	6	main	inherit	c3_efficiency_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	eurosat_fgvc	eurosat	raw	sav	SAV	7	main	inherit	c3_efficiency_eurosat_fgvc_seed42_sav_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_sav_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_sav_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_sav_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_sav_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	eurosat_fgvc	eurosat	raw	rsev2	RSEv2	8	main	inherit	c3_efficiency_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260326_152111.log
c3_efficiency	20260326_152111	42	qwen2_vl	eurosat_fgvc	eurosat	raw	mimic	MimIC	9	main	inherit	c3_efficiency_eurosat_fgvc_seed42_mimic_qwen2_vl_20260326_152111	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260326_152111_c3_efficiency/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_mimic_qwen2_vl_20260326_152111.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_mimic_qwen2_vl_20260326_152111.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_mimic_qwen2_vl_20260326_152111.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260326_152111_c3_efficiency/c3_efficiency_eurosat_fgvc_seed42_mimic_qwen2_vl_20260326_152111.log
