model_name,task_label,dataset_name,method_id,display_name,level,layer_idx,stage,selected,selection_score,fdr,loo_accuracy,cv_accuracy,weight,mean_vote_weight,mean_margin,val_accuracy,shrinkage_alpha
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,21,late,1,,,,,,0.016671457697520965,435.2998388671875,0.77,0.1912987579804832
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,22,late,1,,,,,,0.02128145653899992,564.45716796875,0.74,0.06176924568286055
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,21,late,1,,,,,,0.017249695659120334,428.9813134765625,0.74,0.1863106040171715
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,22,late,1,,,,,,0.02410099883651128,664.0300537109375,0.73,0.0639118949952564
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,24,late,1,,,,,,0.018234561393619515,524.2364013671875,0.73,0.06148176542937924
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,23,late,1,,,,,,0.01574629833747167,447.5519189453125,0.72,0.0963319774444667
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,25,late,1,,,,,,0.015202142276011727,427.8772802734375,0.72,0.07084881712606951
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,22,late,1,,,,,,0.016713194131152704,461.0377783203125,0.71,0.0870470746871155
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,22,late,1,,,,,,0.016344100167043508,475.234765625,0.71,0.09911039983833932
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,21,late,1,,,,,,0.014947239783941768,431.961083984375,0.71,0.10685364208638255
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,20,late,1,,,,,,0.013203827623874531,371.433740234375,0.71,0.18145977483746353
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,27,late,1,,,,,,0.004309677527053282,122.6099658203125,0.71,0.10187973681578262
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,23,late,1,,,,,,0.015190890413941815,417.18091796875,0.7,0.08802383037625956
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,14,mid,1,,,,,,0.009268185019700469,269.3692529296875,0.7,0.17714850096806056
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,23,late,1,,,,,,0.008578841799753718,226.7735546875,0.7,0.06855503972605433
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,26,late,1,,,,,,0.0035387179618066966,113.41896484375,0.7,0.1140167034126773
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,26,late,1,,,,,,0.0032005450802171254,100.191201171875,0.7,0.1173859536354165
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,26,late,1,,,,,,0.008291984921233961,240.8508251953125,0.69,0.10815419232727025
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,15,mid,1,,,,,,0.007141399084357545,209.5600048828125,0.69,0.1986997339430927
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,21,late,1,,,,,,0.016079447043593972,459.465390625,0.68,0.07476862016129936
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,19,late,1,,,,,,0.014579452846373898,431.835517578125,0.68,0.13589194568063848
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,20,late,1,,,,,,0.012260760512290289,364.3491259765625,0.68,0.11486666084185429
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,23,late,1,,,,,,0.008114302198591758,209.9040087890625,0.68,0.06743472232418658
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,27,late,1,,,,,,0.0057709955656901,169.634482421875,0.68,0.10380543426580234
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,25,late,1,,,,,,0.012817116504593287,344.655693359375,0.67,0.06343274927389174
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,19,late,1,,,,,,0.012694503601524047,379.9815673828125,0.67,0.12387555694411502
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,20,late,1,,,,,,0.012537800593854627,369.3939697265625,0.67,0.09958800359984082
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,20,late,1,,,,,,0.011703189103573096,335.46873046875,0.67,0.17913546964472532
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,27,late,1,,,,,,0.00378519065274304,103.1200439453125,0.67,0.10991946213696373
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,18,mid,1,,,,,,0.008290048256458248,272.2571166992187,0.66,0.21936803325816723
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,17,mid,1,,,,,,0.008227509996795562,240.93634765625,0.66,0.20934474679449228
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,27,late,1,,,,,,0.005502084089821438,151.06837890625,0.66,0.054336113083330334
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,24,late,1,,,,,,0.01740313368907664,490.14654296875,0.65,0.04569993952594804
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,19,late,1,,,,,,0.014588428783754352,410.068154296875,0.65,0.11308237089858446
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,19,late,1,,,,,,0.013485996373929084,391.96056640625,0.65,0.10340537224212658
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,18,mid,1,,,,,,0.008623603116902814,274.83748046875,0.65,0.21341527848562483
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,17,mid,1,,,,,,0.00824244700095278,237.5627880859375,0.65,0.22752027784998516
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,14,mid,1,,,,,,0.00812737327533796,240.6644970703125,0.65,0.1920904520376705
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,24,late,1,,,,,,0.014213318376073402,399.604814453125,0.64,0.03638908562914631
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,16,mid,1,,,,,,0.008261640320706648,235.9170458984375,0.64,0.18724861842778537
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,13,mid,1,,,,,,0.00810536868601048,222.8399169921875,0.64,0.15872516220539618
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,14,mid,1,,,,,,0.0076468073576688765,233.93395263671874,0.64,0.19615300766531438
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,15,mid,1,,,,,,0.007630111978887726,235.014716796875,0.64,0.19808267952598577
